visited,frontier
1,0
2,82
3,99
4,122
5,141
6,152
7,156
8,162
9,172
10,191
11,218
12,235
13,256
14,267
15,271
16,276
17,286
18,305
19,308
20,312
21,317
22,320
23,360
24,373
25,376
26,379
27,381
28,382
29,393
30,397
31,414
32,414
33,429
34,431
35,434
36,436
37,441
38,447
39,455
40,456
41,462
42,464
43,466
44,466
45,465
46,472
47,474
48,487
49,509
50,517
51,524
52,526
53,528
54,530
55,535
56,534
57,540
58,540
59,542
60,549
61,551
62,553
63,567
64,566
65,571
66,573
67,572
68,577
69,580
70,600
71,600
72,605
73,615
74,617
75,636
76,642
77,674
78,677
79,684
80,683
81,696
82,697
83,702
84,704
85,708
86,711
87,712
88,716
89,717
90,729
91,755
92,757
93,756
94,759
95,763
96,785
97,806
98,807
99,808
100,812
101,818
102,820
103,823
104,840
105,843
106,858
107,861
108,867
109,868
110,868
111,868
112,875
113,879
114,891
115,900
116,899
117,909
118,917
119,921
120,920
121,931
122,935
123,938
124,938
125,938
126,939
127,942
128,946
129,952
130,959
131,958
132,961
133,962
134,964
135,963
136,964
137,981
138,981
139,981
140,983
141,986
142,992
143,996
144,995
145,997
146,997
147,996
148,1000
149,1006
150,1017
151,1018
152,1019
153,1018
154,1018
155,1018
156,1032
157,1037
158,1049
159,1050
160,1051
161,1054
162,1066
163,1065
164,1064
165,1090
166,1092
167,1092
168,1109
169,1112
170,1114
171,1114
172,1130
173,1129
174,1129
175,1138
176,1147
177,1152
178,1156
179,1182
180,1183
181,1187
182,1202
183,1201
184,1222
185,1223
186,1226
187,1227
188,1234
189,1235
190,1240
191,1241
192,1248
193,1249
194,1250
195,1255
196,1256
197,1264
198,1268
199,1269
200,1268
201,1269
202,1272
203,1281
204,1282
205,1281
206,1281
207,1283
208,1284
209,1283
210,1282
211,1281
212,1282
213,1289
214,1295
215,1302
216,1302
217,1303
218,1304
219,1303
220,1302
221,1306
222,1307
223,1309
224,1313
225,1317
226,1317
227,1320
228,1319
229,1324
230,1323
231,1324
232,1326
233,1332
234,1335
235,1334
236,1334
237,1334
238,1333
239,1340
240,1339
241,1340
242,1344
243,1348
244,1349
245,1355
246,1356
247,1363
248,1364
249,1369
250,1370
251,1373
252,1372
253,1372
254,1372
255,1372
256,1372
257,1375
258,1374
259,1375
260,1379
261,1382
262,1381
263,1383
264,1382
265,1385
266,1392
267,1394
268,1396
269,1396
270,1396
271,1395
272,1397
273,1403
274,1402
275,1402
276,1401
277,1401
278,1400
279,1403
280,1409
281,1416
282,1417
283,1427
284,1432
285,1433
286,1438
287,1440
288,1445
289,1450
290,1454
291,1457
292,1479
293,1478
294,1479
295,1489
296,1490
297,1491
298,1495
299,1496
300,1496
301,1495
302,1494
303,1493
304,1498
305,1498
306,1499
307,1502
308,1504
309,1525
310,1528
311,1527
312,1527
313,1532
314,1538
315,1546
316,1547
317,1546
318,1545
319,1545
320,1553
321,1557
322,1560
323,1561
324,1562
325,1562
326,1561
327,1564
328,1568
329,1571
330,1572
331,1571
332,1570
333,1592
334,1591
335,1590
336,1590
337,1592
338,1592
339,1591
340,1593
341,1592
342,1591
343,1590
344,1592
345,1595
346,1594
347,1593
348,1622
349,1622
350,1625
351,1624
352,1623
353,1627
354,1633
355,1638
356,1641
357,1642
358,1663
359,1664
360,1666
361,1667
362,1667
363,1666
364,1670
365,1670
366,1673
367,1672
368,1677
369,1677
370,1677
371,1677
372,1679
373,1683
374,1687
375,1686
376,1685
377,1686
378,1688
379,1698
380,1702
381,1706
382,1707
383,1713
384,1717
385,1716
386,1715
387,1719
388,1722
389,1722
390,1723
391,1722
392,1726
393,1725
394,1724
395,1725
396,1725
397,1724
398,1724
399,1731
400,1733
401,1732
402,1733
403,1735
404,1735
405,1734
406,1735
407,1734
408,1736
409,1742
410,1758
411,1760
412,1760
413,1765
414,1765
415,1766
416,1765
417,1764
418,1763
419,1763
420,1762
421,1763
422,1764
423,1763
424,1762
425,1765
426,1767
427,1778
428,1777
429,1785
430,1788
431,1788
432,1790
433,1793
434,1793
435,1792
436,1792
437,1793
438,1792
439,1805
440,1816
441,1816
442,1820
443,1823
444,1823
445,1826
446,1850
447,1850
448,1850
449,1849
450,1851
451,1853
452,1857
453,1856
454,1856
455,1860
456,1859
457,1861
458,1864
459,1863
460,1862
461,1863
462,1862
463,1861
464,1861
465,1869
466,1870
467,1869
468,1869
469,1869
470,1870
471,1871
472,1870
473,1871
474,1871
475,1877
476,1888
